,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9,encoded_10,encoded_11,encoded_12,encoded_13,encoded_14,encoded_15,encoded_16,encoded_17,encoded_18,encoded_19,encoded_20,encoded_21,encoded_22,encoded_23,encoded_24,encoded_25,encoded_26,encoded_27,encoded_28,encoded_29,encoded_30,ccl_name
217,20.950233,11.147791,24.251556,0.0,0.0,5.464817,0.0,13.505492,0.0,19.27712,0.0,5.5741043,0.0,6.8400474,0.0,23.864054,0.0,0.0,3.8482285,0.0,0.0,0.0,0.0,1.2706395,4.541454,0.0,41.65306,17.089808,0.0,0.0,ACH-000677
218,0.0,5.1781096,6.341063,42.33949,0.0,0.0,3.5026674,26.137976,0.0,0.0,0.0,0.0,0.0,18.476995,0.0,30.476767,0.0,0.0,10.197395,0.0,0.0,0.0,0.0,0.0,0.0,38.183376,0.0,55.32384,0.0,0.0,ACH-000055
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.32307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.569344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000485
220,10.625194,0.0,19.34413,0.0,0.0,0.0,0.0,0.0,0.0,25.515453,0.0,5.5986695,0.0,0.0,0.0,0.0,0.0,0.0,5.8687954,0.0,7.42522,36.077824,0.0,0.0,0.0,0.0,26.715881,0.0,3.1715355,0.0,ACH-000672
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.94864,28.414314,0.0,0.0,0.0,0.0,0.012855192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.669712,0.0,0.0,49.714436,ACH-000287
222,0.0,11.154228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.807945,49.027187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000784
223,0.8390733,35.27744,54.563095,0.0,0.0,21.231665,0.0,54.084442,0.0,0.0,41.83035,41.31387,0.0,3.7455742,0.0,30.75648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.477833,33.737057,0.0,0.0,ACH-000530
224,0.0,0.0,0.0,90.96161,0.0,15.895602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.10694,0.0,0.0,0.0,0.0,0.0,2.5341616,0.0,0.0,0.0,0.0,ACH-002024
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.091998,0.0,0.0,0.0,0.0,8.177352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.978502,0.0,32.990894,ACH-000380
226,0.0,0.0,0.0,0.0,0.0,18.017193,0.0,5.616286,0.37304142,0.0,0.0,0.0,50.427174,66.71924,0.0,0.0,0.0,0.0,7.4017324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.369005,0.0,0.0,ACH-001737
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05282455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001400
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001054
229,0.0,15.982774,0.0,24.290182,0.0,21.887648,0.0,0.0,34.421604,1.0827805,23.165413,0.0,0.0,1.6706547,0.46235654,87.44087,0.0,0.0,17.871218,6.8721585,0.0,3.3744373,0.0,0.0,0.0,0.0,59.709312,0.0,0.0,0.0,ACH-000009
230,0.0,0.0,0.0,69.31637,0.0,5.856113,0.0,37.237907,33.091698,0.0,0.0,8.603437,0.0,0.0,0.0,2.906778,0.0,3.7899842,3.096295,0.0,0.0,0.0,0.0,14.935268,3.5817587,22.453842,34.677597,0.0,4.1598964,0.0,ACH-000491
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.95839,ACH-001703
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.357967,ACH-000002
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001568
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.110956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000993
235,0.7018076,38.19826,0.0,0.0,0.0,37.384747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.718956,0.0,0.0,6.793491,0.0,0.0,0.0,83.88724,0.0,0.67923576,44.60112,31.008684,34.745884,0.0,ACH-002680
236,0.0,43.031807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.732662,2.031711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.87599,0.0,0.0,75.76848,ACH-000877
237,21.333847,29.40025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.627098,0.0,0.0,0.0,0.0,0.0,27.411287,48.14764,0.0,0.0,0.0,27.681625,9.901369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000711
238,0.0,29.373903,0.0,0.0,0.0,12.7290325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064020073,47.986103,0.0,35.784573,19.3368,0.0,0.0,0.0,0.0,0.0,0.0,24.669664,0.0,0.0,0.0,ACH-001515
239,24.618042,2.434073,0.0,0.0,0.0,30.053667,0.0,0.0,0.0,26.643202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.652048,0.0,5.1836724,0.0,0.0,0.0,0.0,9.657048,0.0,35.576103,0.0,ACH-002847
