"","TCGA-02-0055","TCGA-04-1332"
"AC005234.2",0.16,0
"AC005237.1",0,0.44
"AC005244.1",0.75,0
"AC005244.2",0,0
"AC005252.1",0,0
"AC005252.2",0,0
"AC005252.3",0,0
"AC005252.4",0.65,0
"AC005253.1",0.69,1.24
"AC005253.2",0,0
"AC005255.1",0,0
"AC005256.1",0,0
"AC005258.1",0,0
"AC005258.2",0.09,0
"AC005261.1",3.94,4.73
"AC005261.2",0.1,0.98
"AC005261.3",0,0
"AC005261.4",0.28,0
"AC005261.5",0.22,1.54
"AC005262.1",1.64,1.05
"AC005262.2",0,0
"AC005264.1",0.41,0.26
"AC005274.1",0,0.98
"AC005277.1",0,0
"AC005277.2",0.26,1
"AC005280.1",0,0.19
"AC005280.2",0.28,0
"AC005280.3",0,0
"AC005281.1",0,0
"AC005288.1",0.1,0.2
"AC005291.1",1.35,0.17
"AC005291.2",1.97,0.2
"AC005293.1",0.43,0.77
"AC005294.1",0,0
"AC005296.1",0,0
"AC005297.1",0,0
"AC005297.2",0,0
"AC005297.3",0,0
"AC005300.1",0.69,0.87
"AC005301.1",0,0
"AC005301.2",0,0
"AC005303.1",0,0
"AC005304.1",0,0.25
"AC005304.2",0.11,0.06
"AC005304.3",0.2,0.2
"AC005306.1",0.11,0.12
"AC005307.1",0,0.53
"AC005323.1",0,0
"AC005323.2",0,0
"AC005324.1",0,0
"AC005324.2",0.08,0
"AC005324.3",0,0
"AC005324.4",0.49,0.86
"AC005324.5",0.17,0
"AC005326.1",1.52,0.71
"AC005329.1",0.12,0.2
"AC005329.2",0,0
"AC005329.3",0.29,0.54
"AC005330.1",1.24,0.96
"AC005332.1",0.95,1.8
"AC005332.2",0.21,0.18
"AC005332.3",3.12,3.12
"AC005332.4",2.6,2.95
"AC005332.5",1.23,2.72
"AC005332.6",3.76,3.79
"AC005332.7",0.69,0.17
"AC005336.1",0.85,0.17
"AC005336.2",0.11,0.22
"AC005336.3",0,0.2
"AC005339.1",0,0
"AC005341.1",0,0
"AC005342.1",0.17,0
"AC005342.2",1.15,0
"AC005343.4",0.03,0.49
"AC005343.7",0,0
"AC005344.1",0,0.88
"AC005345.1",0,0
"AC005351.1",0,0.26
"AC005355.1",0.15,0
"AC005355.2",0.4,0.21
"AC005357.1",0,0
"AC005357.2",0,0.14
"AC005358.1",0.03,0.42
"AC005363.1",0,0
"AC005363.2",1.18,0.97
"AC005377.1",0,0
"AC005379.1",0,0.31
"AC005381.1",0,0
"AC005383.1",0.19,0.66
"AC005387.1",1.45,0.73
